source,station,station_id,period_start,period_end,products,source_scale_m,valid_pixels,total_pixels,valid_area_m2,total_area_m2,coverage_pct
S2,Pastos limpios,00000000000000000000,2021-12-11,2021-12-19,2,20,545.6705882352941,545.6705882352941,213165.6486693139,213165.6486693139,100.0
S2,Palma,00000000000000000001,2021-12-11,2021-12-19,2,20,545.6039215686275,545.6039215686275,213165.1321457805,213165.1321457805,100.0
S2,Bananera,00000000000000000002,2021-12-11,2021-12-19,2,20,545.5333333333333,545.5333333333333,213131.89231938383,213131.89231938383,100.0
S2,Manglar,00000000000000000003,2021-12-11,2021-12-19,2,20,545.850980392157,545.850980392157,213158.9788100297,213158.9788100297,100.0
S2,Bosque seco,00000000000000000004,2021-12-11,2021-12-19,2,20,545.3686274509803,545.3686274509803,213163.19644153066,213163.19644153066,100.0
HLS,Pastos limpios,00000000000000000000,2021-12-19,2021-12-27,8,30,243.78431372549025,243.78431372549025,214276.69850116826,214276.69850116826,100.0
HLS,Palma,00000000000000000001,2021-12-19,2021-12-27,8,30,243.80784313725482,243.80784313725482,214323.03965705412,214323.03965705412,100.0
HLS,Bananera,00000000000000000002,2021-12-19,2021-12-27,8,30,243.75686274509803,243.75686274509803,214272.54065539807,214272.54065539807,100.0
HLS,Manglar,00000000000000000003,2021-12-19,2021-12-27,8,30,241.91372549019607,241.91372549019607,212555.60338039036,212555.60338039036,100.0
HLS,Bosque seco,00000000000000000004,2021-12-19,2021-12-27,8,30,243.64705882352945,243.64705882352945,214272.15992838528,214272.15992838528,100.0
S2,Pastos limpios,00000000000000000000,2021-12-19,2021-12-27,4,20,545.6705882352941,545.6705882352941,213165.6486693139,213165.6486693139,100.0
S2,Palma,00000000000000000001,2021-12-19,2021-12-27,4,20,545.6039215686275,545.6039215686275,213165.1321457805,213165.1321457805,100.0
S2,Bananera,00000000000000000002,2021-12-19,2021-12-27,4,20,545.5333333333333,545.5333333333333,213131.89231938383,213131.89231938383,100.0
S2,Manglar,00000000000000000003,2021-12-19,2021-12-27,4,20,545.850980392157,545.850980392157,213158.9788100297,213158.9788100297,100.0
S2,Bosque seco,00000000000000000004,2021-12-19,2021-12-27,4,20,545.3686274509803,545.3686274509803,213163.19644153066,213163.19644153066,100.0
HLS,Pastos limpios,00000000000000000000,2021-12-27,2022-01-01,6,30,243.78431372549025,243.78431372549025,214276.69850116826,214276.69850116826,100.0
HLS,Palma,00000000000000000001,2021-12-27,2022-01-01,6,30,243.80784313725482,243.80784313725482,214323.03965705412,214323.03965705412,100.0
HLS,Bananera,00000000000000000002,2021-12-27,2022-01-01,6,30,243.75686274509803,243.75686274509803,214272.54065539807,214272.54065539807,100.0
HLS,Manglar,00000000000000000003,2021-12-27,2022-01-01,6,30,241.91372549019607,241.91372549019607,212555.60338039036,212555.60338039036,100.0
HLS,Bosque seco,00000000000000000004,2021-12-27,2022-01-01,6,30,243.64705882352945,243.64705882352945,214272.15992838528,214272.15992838528,100.0
S2,Pastos limpios,00000000000000000000,2021-12-27,2022-01-01,2,20,545.6705882352941,545.6705882352941,213165.6486693139,213165.6486693139,100.0
S2,Palma,00000000000000000001,2021-12-27,2022-01-01,2,20,545.6039215686275,545.6039215686275,213165.1321457805,213165.1321457805,100.0
S2,Bananera,00000000000000000002,2021-12-27,2022-01-01,2,20,545.5333333333333,545.5333333333333,213131.89231938383,213131.89231938383,100.0
S2,Manglar,00000000000000000003,2021-12-27,2022-01-01,2,20,545.850980392157,545.850980392157,213158.9788100297,213158.9788100297,100.0
S2,Bosque seco,00000000000000000004,2021-12-27,2022-01-01,2,20,545.3686274509803,545.3686274509803,213163.19644153066,213163.19644153066,100.0
