station,period_start,period_end,albedo_hls,albedo_s2,coverage_hls,coverage_s2,difference_hls_minus_s2
Bananera,2023-11-25,2023-12-03,0.16642094505404587,0.18631217647835221,99.82011776108571,99.28874005455988,-0.01989123142430635
Bananera,2023-12-03,2023-12-11,0.15271212684067131,0.16589039285014542,99.82011776104834,99.28874005452272,-0.01317826600947411
Bananera,2023-12-11,2023-12-19,0.1533327541703191,0.17255179883839153,99.82011776108571,99.28874005455988,-0.01921904466807242
Bananera,2023-12-19,2023-12-27,0.1523950001329003,0.18054611072169435,99.82011776108571,99.28874005455988,-0.028151110588794048
Bananera,2023-12-27,2024-01-01,0.15885526570710354,0.17938582772768927,99.82011776108571,99.28874005455988,-0.02053056202058573
Bosque seco,2021-01-01,2021-01-09,0.14334359273708033,0.15342222428464414,99.81994039772884,99.30332326371534,-0.010078631547563804
Bosque seco,2021-01-09,2021-01-17,0.13858077616612632,0.16052339904762458,99.81994039772884,99.30332326371534,-0.021942622881498258
Bosque seco,2021-01-17,2021-01-25,0.14380157099013988,0.15436730692710715,99.81994039772884,99.30332326371534,-0.010565735936967274
Bosque seco,2021-01-25,2021-02-02,0.1455210463448863,0.1604164693341562,99.81994039772884,99.30332326371534,-0.014895422989269907
Bosque seco,2021-02-02,2021-02-10,0.1480305342080095,0.16054630154961846,99.81994039772884,99.30332326371534,-0.012515767341608974
Bosque seco,2021-02-10,2021-02-18,0.15060987777019774,0.17467423915359723,99.81994039772884,99.30332326371534,-0.024064361383399485
Bosque seco,2021-02-18,2021-02-26,0.15471009995411372,0.1701323374131418,99.81994039772884,99.30332326371534,-0.01542223745902807
Bosque seco,2021-02-26,2021-03-06,0.15665850705340337,0.1776098153638748,99.81994039772884,99.30332326371534,-0.020951308310471428
Bosque seco,2021-03-14,2021-03-22,0.14332787588384918,0.19060345783422716,99.81994039772884,99.30332326371534,-0.04727558195037798
Bosque seco,2021-03-22,2021-03-30,0.161819046894533,0.16901310602159947,99.81994039772884,99.30332326371534,-0.007194059127066471
Bosque seco,2021-04-07,2021-04-15,0.17109753070390213,0.18050717418952167,99.81994039772884,99.30332326371534,-0.00940964348561954
Bosque seco,2021-04-23,2021-05-01,0.17643232952503504,0.2306862430038941,99.81994039772884,99.30332326371534,-0.05425391347885905
Bosque seco,2021-05-01,2021-05-09,0.17538392268556677,0.19083722768579509,99.41024957304303,92.20200538552052,-0.015453305000228318
Bosque seco,2021-05-09,2021-05-17,0.17559885131972583,0.1928012916393029,99.81994039772884,99.30332326371534,-0.017202440319577073
Bosque seco,2021-06-10,2021-06-18,0.16771137843951897,0.18118840610113784,99.81994039772884,99.30332326371534,-0.013477027661618873
Bosque seco,2021-06-26,2021-07-04,0.16656296596054748,0.20020786809784966,99.81994039772884,99.30332326371534,-0.033644902137302174
Bosque seco,2021-07-04,2021-07-12,0.16290898995978545,0.15368594939024957,99.81994039772884,86.45237206654541,0.009223040569535879
Bosque seco,2021-07-12,2021-07-20,0.16853751260014932,0.1808788579243176,99.81994039772884,99.30332326371534,-0.012341345324168279
Bosque seco,2021-07-20,2021-07-28,0.16689136373387203,0.1827524004241622,99.81994039772884,99.30332326371534,-0.015861036690290153
Bosque seco,2021-07-28,2021-08-05,0.171131428784207,0.1827861477008387,99.81994039772884,99.30332326371534,-0.011654718916631696
