source,station,period_start,period_end,albedo_mean,albedo_coverage_pct
HLS,Bananera,2022-10-08,2022-10-16,0.19766237906724127,17.051455253753627
HLS,Manglar,2022-10-08,2022-10-16,0.15363128561208142,99.02027247771824
HLS,Bosque seco,2022-10-08,2022-10-16,,0.0
S2,Pastos limpios,2022-10-08,2022-10-16,0.13186545672787123,99.30446564787574
S2,Palma,2022-10-08,2022-10-16,0.20194550329362773,93.66196984494889
S2,Bananera,2022-10-08,2022-10-16,0.19302722035247646,98.5628642894522
S2,Manglar,2022-10-08,2022-10-16,0.16785096683461373,99.30135845474761
S2,Bosque seco,2022-10-08,2022-10-16,0.1939460277361187,76.70047858287455
HLS,Pastos limpios,2022-10-16,2022-10-24,,0.0
HLS,Palma,2022-10-16,2022-10-24,,0.0
HLS,Bananera,2022-10-16,2022-10-24,,0.0
HLS,Manglar,2022-10-16,2022-10-24,0.1531437779554045,99.02027247771824
HLS,Bosque seco,2022-10-16,2022-10-24,0.17333831275745004,49.86644185959254
S2,Pastos limpios,2022-10-16,2022-10-24,0.1913548480199922,8.569090467578468
S2,Palma,2022-10-16,2022-10-24,0.19642515717102293,33.33230079461358
S2,Bananera,2022-10-16,2022-10-24,0.22457485416547304,51.44188800087163
S2,Manglar,2022-10-16,2022-10-24,0.17309585764682994,99.30135845474761
S2,Bosque seco,2022-10-16,2022-10-24,,0.0
HLS,Pastos limpios,2022-10-24,2022-11-01,0.11228693595208009,99.82205471792155
HLS,Palma,2022-10-24,2022-11-01,0.16053959665905604,99.84364301676337
HLS,Bananera,2022-10-24,2022-11-01,,0.0
HLS,Manglar,2022-10-24,2022-11-01,0.15450580211340054,62.563515223687524
HLS,Bosque seco,2022-10-24,2022-11-01,0.149722552039066,4.41985710026696
S2,Pastos limpios,2022-10-24,2022-11-01,0.13635386245565395,99.30446564787574
S2,Palma,2022-10-24,2022-11-01,0.17841964005747682,99.30422502237963
S2,Bananera,2022-10-24,2022-11-01,0.22333080337231453,6.700603664355125
S2,Manglar,2022-10-24,2022-11-01,0.17555066658110144,99.28566343554498
S2,Bosque seco,2022-10-24,2022-11-01,0.17940254285977247,79.00405979204669
HLS,Pastos limpios,2022-11-09,2022-11-17,,0.0
HLS,Palma,2022-11-09,2022-11-17,0.16671650921271644,8.297947609887599
HLS,Bananera,2022-11-09,2022-11-17,,0.0
HLS,Manglar,2022-11-09,2022-11-17,0.15021553334138593,99.02027247771824
HLS,Bosque seco,2022-11-09,2022-11-17,0.1552154850373576,56.23061508035099
S2,Pastos limpios,2022-11-09,2022-11-17,0.15197428294612153,1.0341029735845113
S2,Palma,2022-11-09,2022-11-17,0.12898657395714028,22.628146402124692
S2,Bananera,2022-11-09,2022-11-17,,0.0
S2,Manglar,2022-11-09,2022-11-17,0.16405075445518918,99.30135845474761
S2,Bosque seco,2022-11-09,2022-11-17,0.21025012507425725,99.30332326371534
HLS,Pastos limpios,2022-11-17,2022-11-25,,0.0
HLS,Palma,2022-11-17,2022-11-25,0.1764376941916402,99.84364301676337
HLS,Bananera,2022-11-17,2022-11-25,,0.0
HLS,Manglar,2022-11-17,2022-11-25,0.1511093489773461,25.312118221918528
HLS,Bosque seco,2022-11-17,2022-11-25,0.15043016405564397,99.81994039772884
S2,Pastos limpios,2022-11-17,2022-11-25,,0.0
S2,Palma,2022-11-17,2022-11-25,0.17293981613324327,87.92260973985861
S2,Bananera,2022-11-17,2022-11-25,0.21217464452160095,67.77575915964744
S2,Manglar,2022-11-17,2022-11-25,0.17348149987592723,93.25944549480764
S2,Bosque seco,2022-11-17,2022-11-25,0.16099072995842617,99.30332326371534
HLS,Pastos limpios,2022-11-25,2022-12-03,0.12662700127031365,49.7078924427195
HLS,Palma,2022-11-25,2022-12-03,0.17626585814065066,44.26007273996339
HLS,Bananera,2022-11-25,2022-12-03,0.20709737528650476,4.9638590887798095
HLS,Manglar,2022-11-25,2022-12-03,0.14975745959555892,37.2367826064256
HLS,Bosque seco,2022-11-25,2022-12-03,0.1395829003225664,83.65729752483
S2,Pastos limpios,2022-11-25,2022-12-03,0.1544107902694731,99.30446564784161
S2,Palma,2022-11-25,2022-12-03,0.23555083884938746,51.09419944701894
S2,Bananera,2022-11-25,2022-12-03,,0.0
S2,Manglar,2022-11-25,2022-12-03,,0.0
S2,Bosque seco,2022-11-25,2022-12-03,0.18522013443299065,99.30332326371534
HLS,Pastos limpios,2022-12-03,2022-12-11,0.12033640448538033,99.82205471792155
HLS,Palma,2022-12-03,2022-12-11,0.15320362455332429,99.84364301676337
HLS,Bananera,2022-12-03,2022-12-11,0.1624416328706121,99.82011776108571
HLS,Manglar,2022-12-03,2022-12-11,0.14528126412808764,99.02027247771824
HLS,Bosque seco,2022-12-03,2022-12-11,0.13973014321458457,99.81994039772884
S2,Pastos limpios,2022-12-03,2022-12-11,0.13757052113185925,99.30446564787574
S2,Palma,2022-12-03,2022-12-11,0.16336692436757722,99.30422502237963
S2,Bananera,2022-12-03,2022-12-11,0.18233716737037095,99.28874005455988
S2,Manglar,2022-12-03,2022-12-11,0.16125427779954865,99.30135845474761
S2,Bosque seco,2022-12-03,2022-12-11,0.15496776693499786,99.30332326371534
HLS,Pastos limpios,2022-12-11,2022-12-19,0.12744736151654404,99.82205471788723
HLS,Palma,2022-12-11,2022-12-19,0.15303326561248662,99.84364301677358
HLS,Bananera,2022-12-11,2022-12-19,0.16922328994136765,99.82011776104834
HLS,Manglar,2022-12-11,2022-12-19,0.15921831840307554,66.83957260304841
HLS,Bosque seco,2022-12-11,2022-12-19,0.1409028465841436,99.81994039772884
S2,Pastos limpios,2022-12-11,2022-12-19,0.1581585383235152,99.30446564784161
S2,Palma,2022-12-11,2022-12-19,0.17010897308494874,99.30422502238977
S2,Bananera,2022-12-11,2022-12-19,0.20084465841127,99.28874005452272
S2,Manglar,2022-12-11,2022-12-19,,0.0
S2,Bosque seco,2022-12-11,2022-12-19,0.1673942705976617,99.30332326371534
HLS,Pastos limpios,2022-12-19,2022-12-27,0.12926077832960708,99.82205471788723
HLS,Palma,2022-12-19,2022-12-27,0.14839460054087913,99.84364301677358
HLS,Bananera,2022-12-19,2022-12-27,0.16182574598351024,99.82011776104834
HLS,Manglar,2022-12-19,2022-12-27,0.1435363187657675,99.02027247771824
HLS,Bosque seco,2022-12-19,2022-12-27,0.13423140156500427,99.81994039772884
S2,Pastos limpios,2022-12-19,2022-12-27,0.14829278717297856,99.30446564784161
S2,Palma,2022-12-19,2022-12-27,0.16026965802207785,99.30422502238977
S2,Bananera,2022-12-19,2022-12-27,0.18203268330712788,99.28874005452272
S2,Manglar,2022-12-19,2022-12-27,0.15642813610875927,99.30135845474761
S2,Bosque seco,2022-12-19,2022-12-27,0.14412134738470936,99.30332326371534
HLS,Pastos limpios,2022-12-27,2023-01-01,0.13152444760421866,99.82205471792155
HLS,Palma,2022-12-27,2023-01-01,0.14840527854164318,99.84364301676337
HLS,Bananera,2022-12-27,2023-01-01,0.16528406544540916,99.82011776108571
HLS,Manglar,2022-12-27,2023-01-01,0.14402913948956086,99.02027247771824
HLS,Bosque seco,2022-12-27,2023-01-01,0.13436618559937544,99.81994039772884
S2,Pastos limpios,2022-12-27,2023-01-01,0.15170298186156742,99.30446564787574
S2,Palma,2022-12-27,2023-01-01,0.16082172548718376,99.30422502237963
S2,Bananera,2022-12-27,2023-01-01,0.1898928856974107,99.28874005455988
S2,Manglar,2022-12-27,2023-01-01,0.156840198413473,99.30135845474761
S2,Bosque seco,2022-12-27,2023-01-01,0.14068762472411322,99.30332326371534
HLS,Pastos limpios,2023-01-01,2023-01-09,0.13543472267018813,99.82205471792155
HLS,Palma,2023-01-01,2023-01-09,0.14966187676201503,99.84364301676337
HLS,Bananera,2023-01-01,2023-01-09,0.16552066772826549,99.82011776108571
HLS,Manglar,2023-01-01,2023-01-09,0.1435066003077254,99.02027247771824
HLS,Bosque seco,2023-01-01,2023-01-09,0.13349215399011127,99.81994039772884
S2,Pastos limpios,2023-01-01,2023-01-09,0.151983468856058,99.30446564787574
S2,Palma,2023-01-01,2023-01-09,0.17794645620082286,99.30422502237963
S2,Bananera,2023-01-01,2023-01-09,0.18671326692198248,99.28874005455988
S2,Manglar,2023-01-01,2023-01-09,0.15587148651650914,99.30135845474761
S2,Bosque seco,2023-01-01,2023-01-09,0.12837465640707885,99.30332326371534
HLS,Pastos limpios,2023-01-09,2023-01-17,0.13720914872340417,99.82205471792155
HLS,Palma,2023-01-09,2023-01-17,0.15128495892617463,99.84364301676337
HLS,Bananera,2023-01-09,2023-01-17,0.16839588844369105,99.82011776108571
HLS,Manglar,2023-01-09,2023-01-17,0.14633609309487475,99.02027247771824
HLS,Bosque seco,2023-01-09,2023-01-17,0.130208295055688,99.81994039772884
S2,Pastos limpios,2023-01-09,2023-01-17,0.14395928007491557,99.30446564787574
S2,Palma,2023-01-09,2023-01-17,0.15558292102938265,99.30422502237963
S2,Bananera,2023-01-09,2023-01-17,0.18243150266572086,99.28874005455988
S2,Manglar,2023-01-09,2023-01-17,0.14607637980251192,99.30135845474761
S2,Bosque seco,2023-01-09,2023-01-17,0.13229950434808702,99.30332326371534
HLS,Pastos limpios,2023-01-17,2023-01-25,0.13633754679141827,99.82205471788723
HLS,Palma,2023-01-17,2023-01-25,0.14789381316105443,99.84364301677358
HLS,Bananera,2023-01-17,2023-01-25,0.16259570267607593,99.82011776104834
HLS,Manglar,2023-01-17,2023-01-25,0.14072949655040887,99.02027247771824
HLS,Bosque seco,2023-01-17,2023-01-25,0.1339160675604019,99.81994039772884
S2,Pastos limpios,2023-01-17,2023-01-25,0.15619642542455264,99.30446564784161
S2,Palma,2023-01-17,2023-01-25,0.16049332523869028,99.30422502238977
S2,Bananera,2023-01-17,2023-01-25,0.1853360376045739,99.28874005452272
S2,Manglar,2023-01-17,2023-01-25,0.15112349881152903,99.30135845474761
S2,Bosque seco,2023-01-17,2023-01-25,0.15031228931089505,99.30332326371534
HLS,Pastos limpios,2023-01-25,2023-02-02,0.1504883645144031,99.82205471788723
HLS,Palma,2023-01-25,2023-02-02,0.1490441983785411,99.84364301677358
HLS,Bananera,2023-01-25,2023-02-02,0.16347948214520025,99.82011776104834
HLS,Manglar,2023-01-25,2023-02-02,0.14200448944959707,99.02027247771824
HLS,Bosque seco,2023-01-25,2023-02-02,0.1339796346662891,99.81994039772884
S2,Pastos limpios,2023-01-25,2023-02-02,0.17359415561877395,99.30446564784161
S2,Palma,2023-01-25,2023-02-02,0.16643400785013912,99.30422502238977
S2,Bananera,2023-01-25,2023-02-02,0.18983060618671033,99.28874005452272
S2,Manglar,2023-01-25,2023-02-02,0.15598912479651794,99.30135845474761
S2,Bosque seco,2023-01-25,2023-02-02,0.1471010010465543,99.30332326371534
HLS,Pastos limpios,2023-02-02,2023-02-10,0.1574359928454099,99.82205471792155
HLS,Palma,2023-02-02,2023-02-10,0.1509988830544273,99.84364301676337
HLS,Bananera,2023-02-02,2023-02-10,0.16318908552261505,99.82011776108571
HLS,Manglar,2023-02-02,2023-02-10,0.14606893701800536,99.02027247771824
HLS,Bosque seco,2023-02-02,2023-02-10,0.1397801688023688,99.81994039772884
S2,Pastos limpios,2023-02-02,2023-02-10,0.17783134747663082,99.30446564787574
S2,Palma,2023-02-02,2023-02-10,0.16638302052863377,99.30422502237963
S2,Bananera,2023-02-02,2023-02-10,0.18661351098987541,99.28874005455988
S2,Manglar,2023-02-02,2023-02-10,0.16090919726217495,99.30135845474761
S2,Bosque seco,2023-02-02,2023-02-10,0.1503809954298028,99.30332326371534
HLS,Pastos limpios,2023-02-10,2023-02-18,0.16293366788846234,99.82205471792155
HLS,Palma,2023-02-10,2023-02-18,0.15158610447193996,99.84364301676337
HLS,Bananera,2023-02-10,2023-02-18,0.16141436985445795,99.82011776108571
HLS,Manglar,2023-02-10,2023-02-18,0.1544726436042682,99.02027247771824
HLS,Bosque seco,2023-02-10,2023-02-18,0.13883735366388775,99.81994039772884
S2,Pastos limpios,2023-02-10,2023-02-18,0.18366788988575555,99.30446564787574
S2,Palma,2023-02-10,2023-02-18,0.1688692632165297,99.30422502237963
S2,Bananera,2023-02-10,2023-02-18,0.18767204895423592,99.28874005455988
S2,Manglar,2023-02-10,2023-02-18,0.16961483200176802,99.30135845474761
S2,Bosque seco,2023-02-10,2023-02-18,0.1512429755962483,99.30332326371534
HLS,Pastos limpios,2023-02-18,2023-02-26,0.16953725199593142,99.82205471792155
HLS,Palma,2023-02-18,2023-02-26,0.15349066145901216,99.84364301676337
HLS,Bananera,2023-02-18,2023-02-26,0.16341500608298998,99.82011776108571
HLS,Manglar,2023-02-18,2023-02-26,0.16017472616662876,99.02027247771824
HLS,Bosque seco,2023-02-18,2023-02-26,0.14257129819495673,99.81994039772884
S2,Pastos limpios,2023-02-18,2023-02-26,0.19066019323834585,99.30446564787574
S2,Palma,2023-02-18,2023-02-26,0.17089412478665655,99.30422502237963
S2,Bananera,2023-02-18,2023-02-26,0.19222117620922025,99.28874005455988
S2,Manglar,2023-02-18,2023-02-26,0.17859717825117857,99.30135845474761
S2,Bosque seco,2023-02-18,2023-02-26,0.15660440240074378,99.30332326371534
HLS,Pastos limpios,2023-02-26,2023-03-06,0.1743573577913725,99.82205471792155
HLS,Palma,2023-02-26,2023-03-06,0.15361158573566752,99.84364301676337
HLS,Bananera,2023-02-26,2023-03-06,0.16652323182172638,99.82011776108571
